refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
23099,"2407.50031183906",5,3,3,5,4,"4","2"
71016,"771.631503837095",5,4,3,4,1,"3","3"
63079,"1670.9933567137898",4,4,2,5,1,"4","2"
93018,"35.60368418127",2,1,3,1,1,"1","5"
93010,"59.862146644354596",2,1,3,1,1,"1","5"
92137,"828.455859762662",5,3,3,4,1,"3","4"
85009,"76.3263679742164",2,3,3,1,1,"2","5"
84043,"71.5200408703921",2,3,2,1,1,"2","4"
36010,"393.440980450091",2,2,5,3,1,"2","3"
36006,"266.13281959010504",2,3,5,2,1,"2","4"
24133,"198.44886056669",2,1,5,2,1,"3","3"
23009,"117.74855407115",2,1,4,1,1,"2","3"
23003,"870.809602943846",3,3,3,4,1,"3","2"
13011,"595.963801523678",3,4,4,3,1,"2","4"
12040,"1014.87517671154",3,3,4,5,1,"3","2"
82014,"31.610868913436104",1,1,2,1,1,"2","4"
81013,"66.8015103344571",1,2,1,1,1,"1","4"
81003,"80.6083774500076",2,1,2,1,1,"2","4"
63089,"197.329288432052",2,2,3,2,1,"3","5"
63048,"209.277755227163",3,2,4,2,1,"3","5"
73028,"57.1492188369763",2,1,5,1,1,"1","3"
25121,"943.7687344500141",5,4,3,4,1,"3","3"
21009,"13807.385713666301",4,5,3,5,5,"4","2"
72020,"340.501945781973",5,4,4,3,1,"2","4"
63075,"29.3900351565627",2,1,1,1,1,"1","5"
11007,"2898.7765876050103",3,2,5,5,1,"4","1"
63058,"372.752828643677",5,2,1,3,1,"4","4"
53084,"123.960809235739",3,2,4,1,1,"2","5"
53028,"835.2186949171321",4,3,4,4,1,"3","3"
32010,"224.902560395212",2,2,5,2,1,"2","3"
32003,"113.933144569451",3,2,5,1,1,"1","3"
81004,"382.813910822532",3,4,2,3,1,"3","4"
64034,"196.848179240476",1,3,4,2,1,"3","4"
58004,"943.740160376448",3,3,3,4,1,"3","4"
52018,"1093.5467236771",3,2,3,5,1,"4","2"
35013,"1762.3328320177102",4,5,5,5,4,"3","1"
25118,"223.111514715202",3,1,4,2,1,"3","4"
25015,"469.071934737329",3,3,3,3,1,"3","5"
23088,"2178.2807337690697",5,4,4,5,1,"3","1"
21012,"16335.835656872001",5,4,4,5,4,"4","1"
64008,"229.941118255491",3,1,4,2,1,"2","4"
62108,"651.329151458768",5,3,3,4,1,"3","4"
62011,"236.92498382329998",2,2,3,2,1,"3","4"
61079,"113.99685793145599",2,1,2,1,1,"2","5"
61048,"70.28105812656051",2,1,2,1,1,"2","5"
24007,"593.9914594823849",4,2,4,3,1,"3","4"
13025,"333.134186736767",2,4,4,3,1,"2","3"
13002,"406.24516976920904",1,2,5,3,1,"2","3"
72042,"204.443138645163",1,3,4,2,1,"2","4"
71024,"297.870256714799",3,2,5,2,1,"3","4"
92054,"113.67317789561699",2,2,2,1,1,"2","5"
92035,"161.84203341721698",1,2,4,2,1,"2","4"
62100,"203.58242211431298",3,3,2,2,1,"3","5"
56086,"302.174836159145",2,2,3,3,1,"3","5"
52022,"629.4776267301299",3,2,3,4,3,"3","4"
34040,"887.380218670639",3,4,5,4,1,"2","4"
34009,"740.048102832102",2,3,5,4,1,"3","4"
73022,"142.368067969388",2,2,4,1,1,"2","3"
25072,"477.012824638888",4,5,4,3,1,"3","4"
13031,"376.16201998238796",2,2,4,3,1,"2","3"
85026,"132.17001853603202",1,2,2,1,1,"2","4"
83034,"146.60999428952599",3,3,2,1,1,"2","4"
61031,"455.115245550419",3,4,2,3,1,"3","3"
42028,"642.335241716726",5,3,5,4,1,"1","2"
42023,"346.38219340782996",3,2,4,3,1,"2","3"
41048,"548.326832497251",3,4,4,3,1,"3","2"
34013,"1005.98810216844",2,3,4,5,1,"3","3"
34002,"359.403676060698",2,2,4,3,1,"2","3"
25124,"198.709441655355",2,2,4,2,1,"3","4"
24109,"700.664150859963",2,3,3,4,1,"3","3"
13053,"393.76018206629897",2,3,4,3,1,"2","3"
13013,"282.68977381724795",2,3,3,2,1,"2","3"
83031,"28.0151592915295",1,2,1,1,1,"1","4"
72003,"231.797503535996",2,2,4,2,1,"2","3"
71017,"153.881498396154",2,2,4,2,1,"2","3"
62120,"734.2548683148759",4,3,2,4,1,"3","4"
62096,"1816.80597876844",3,3,2,5,1,"4","2"
62093,"3526.31887613066",3,2,2,5,1,"5","2"
62006,"339.186851058501",2,3,4,3,1,"3","5"
62003,"1232.06103456633",3,3,4,5,1,"3","3"
56001,"732.796282807841",3,2,4,4,3,"3","4"
53014,"1000.9943196959499",3,4,4,5,1,"3","3"
46013,"508.71461602172496",2,2,5,3,1,"2","2"
36008,"1131.77301079668",5,4,5,5,1,"3","3"
23033,"561.835672050816",3,2,3,3,1,"3","2"
11056,"965.5302204241231",4,2,5,4,3,"2","3"
11038,"1106.8924308083601",5,3,4,5,1,"3","2"
