refnis,moyenne_evitees,ci_2.5,ci_97.5
46014,10594.120878067763,10125.193855049822,11058.600769432549
41018,7664.560169234018,7365.671690998668,7963.678493929468
25031,4199.004454556685,3976.296636622546,4431.075017977318
13021,2083.4207334520956,2000.0652996069107,2170.8364260290687
63004,923.7760516553359,856.6933196385726,991.7331958346691
61003,3515.8313941465876,3367.3695917664877,3667.015850811709
57095,742.2302436668174,699.5342479746027,786.629394424011
45059,2940.280947428598,2822.215765679155,3062.8464494513496
44073,1155.249930146879,1092.9571516699814,1219.3384267569734
38008,2548.2771036939725,2414.799061302972,2680.2318701331046
34023,3274.5879701321232,3095.218274397188,3459.37703185033
24041,1105.1856647904985,1049.103807926441,1165.5858110106828
24038,4916.951987006925,4713.421219430003,5123.277047224602
23098,1538.1596971669,1476.3803287855715,1598.6435077754238
72039,6418.750927760412,6110.868425785211,6745.488512957121
11029,5963.951387778601,5724.226045816957,6196.547148250701
91141,1891.8329371247069,1799.1454363745981,1983.0520670278197
84033,1049.106314277133,985.5436834951868,1114.482628772154
83044,414.20632867793546,387.26629269380203,441.499551869528
61080,1406.4600382211202,1346.8586000130463,1466.4604775534872
41024,3941.855972172962,3755.046811205296,4128.733295357564
23096,4590.349885542311,4413.158120222245,4771.944658851245
23045,4277.301939124318,4070.883653340627,4488.697220339915
21010,9139.085388113162,8746.230537568434,9519.366759320528
72004,3973.177756467545,3744.051603296176,4208.046679348654
61010,726.8367646748661,678.7703829865567,776.0553739475731
57081,19839.79344158568,19065.90860841977,20625.526954144425
57072,1179.0124564260818,1119.6709703508448,1243.4619268530744
44083,11054.674802984437,10473.851698351613,11656.860163518006
44040,3091.084584783433,2992.132163188464,3190.346832802001
13037,2037.2752866502285,1961.1230261458634,2122.5808193236667
13006,1990.746549462011,1912.4366673340992,2074.6888634615184
92003,6590.036888912144,6358.073070031277,6827.9830057878
83055,772.6840905764939,719.5061728314057,826.6532873372155
62027,1890.7105102236546,1792.8670910543487,1993.2092535575907
61043,1448.5732894518596,1368.756219948408,1531.7167500901112
56022,2535.7132232239273,2432.568400484896,2641.412252648711
55035,2147.536823941594,2032.0016635197583,2267.424364247114
53053,33049.898350806754,31699.291958144422,34438.58423873326
44021,68154.07353863337,65418.70717140203,70821.87469973874
